ModelGroup,Model
samsung_galaxy_note_10+,SC-01M
samsung_galaxy_note_10+,SCV45
samsung_galaxy_note_10+,SM-N9750
samsung_galaxy_note_10+,SM-N9750/DS
samsung_galaxy_note_10+,SM-N975C
samsung_galaxy_note_10+,SM-N975N
samsung_galaxy_note_10+,SM-N975U
samsung_galaxy_note_10+,SM-N975U1
samsung_galaxy_note_10+,SM-N975W
samsung_galaxy_note_10+,SM-N975F
samsung_galaxy_note_10+,SM-N975F/DS
samsung_galaxy_note_10+,SM-N976B
samsung_galaxy_note_10+,SM-N976N
samsung_galaxy_note_10+,SM-N9760
samsung_galaxy_note_10+,SM-N976Q
samsung_galaxy_note_10+,SM-N976V
samsung_galaxy_note_10+,SM-N976U
samsung_galaxy_s10,SC-03L
samsung_galaxy_s10,SCV41
samsung_galaxy_s10,SM-G973F
samsung_galaxy_s10,SM-G973N
samsung_galaxy_s10,SM-G9730
samsung_galaxy_s10,SM-G9738
samsung_galaxy_s10,SM-G973C
samsung_galaxy_s10,SM-G973U
samsung_galaxy_s10,SM-G973U1
samsung_galaxy_s10,SM-G973W
samsung_galaxy_s10,SM-G977B
samsung_galaxy_s10,SM-G977N
samsung_galaxy_s10,SM-G977P
samsung_galaxy_s10,SM-G977T
samsung_galaxy_s10,SM-G977U
samsung_galaxy_s10,SM-G770F
samsung_galaxy_s10,SM-G770U1
samsung_galaxy_s10,SC-04L
samsung_galaxy_s10,SCV42
samsung_galaxy_s10,SM-G975F
samsung_galaxy_s10,SM-G975N
samsung_galaxy_s10,SM-G9750
samsung_galaxy_s10,SM-G9758
samsung_galaxy_s10,SM-G975U
samsung_galaxy_s10,SM-G975U1
samsung_galaxy_s10,SM-G975W
samsung_galaxy_s10,SC-05L
samsung_galaxy_s10,SM-G970F
samsung_galaxy_s10,SM-G970N
samsung_galaxy_s10,SM-G9700
samsung_galaxy_s10,SM-G9708
samsung_galaxy_s10,SM-G970U
samsung_galaxy_s10,SM-G970U1
samsung_galaxy_s10,SM-G970W
samsung_galaxy_s10,SM-G9770
samsung_galaxy_s20_ultra,SCG03
samsung_galaxy_s20_ultra,SM-G9880
samsung_galaxy_s20_ultra,SM-G988N
samsung_galaxy_s20_ultra,SM-G988Q
samsung_galaxy_s20_ultra,SM-G988U
samsung_galaxy_s20_ultra,SM-G988U1
samsung_galaxy_s20_ultra,SM-G988W
samsung_galaxy_s20_ultra,SM-G988B
samsung_galaxy_s20_plus_4G,SM-G985
samsung_galaxy_s20_plus_4G,SM-G985F
samsung_galaxy_s20_plus_4G,SM-G985F/DS
samsung_galaxy_s20_plus_5G,SC-52A
samsung_galaxy_s20_plus_5G,SCG02
samsung_galaxy_s20_plus_5G,SM-G986
samsung_galaxy_s20_plus_5G,SM-G9860
samsung_galaxy_s20_plus_5G,SM-G986B/DS
samsung_galaxy_s20_plus_5G,SM-G986N
samsung_galaxy_s20_plus_5G,SM-G986U
samsung_galaxy_s20_plus_5G,SM-G986U1
samsung_galaxy_s20_plus_5G,SM-G986W
huawei_p30_pro,HW-02L
